 CeII      2995.644  58 1    183          A144     80.
 FeI       2995.838  26 0    460          U247      1. :
 V II      2995.999  23 1    27           A266     60.
 FeI       2996.386  26 0    148          G 59      5.
 O III     2996.51    8 2    10           A119      3.
 CoI       2996.549  27 0    77           A 56      1.
 CrI       2996.580  24 0    28           C245     15. r
 ClII      2996.63   17 1    22           A195     40.
 V II      2996.70   23 1    28           A266      3.
 TiII      2996.88   22 1 P  28
 Y I       2996.94   39 0    9            A254     20.
 V I       2997.08   23 0    116          F213      3. N
 FeII      2997.298  26 1    139          A 76      7.
 CaI       2997.309  20 0    17           B 66      5.
 CuI       2997.364  29 0    5            A 58     80.          7.69
 O III     2997.71    8 2    10           A119      2.
 FeII      2997.749  26 1    85           A 76         trd
 V I       2997.87   23 0    116          F213      5. N
 V II      2997.945  23 1    141          A266      6.
 PtI       2997.97   78 0    3            A109     30.          9.2
 AlII      2998.158  13 1 P  14
 AlII      2998.163  13 1 P  14
 ZrII      2998.34   40 1    13           A196      1.
 ZrII      2998.49   40 1    86           A196      2.
 CrI       2998.787  24 0    14           C245     20.
 FeII      2998.855  26 1    60           A 76      2.
 RuII      2998.896  44 1    5            A272     20.
 GdII      2999.045  64 1    12           A225   8000.
 V I       2999.238  23 0    58           C245     12.
 CrII      2999.30   24 1    33           A184      8.
 FeI       2999.512  26 0    30           A164     30. R
 CaI       2999.641  20 0    17           A403      4.
 TiII      2999.92   22 1 P  28
 CrII      2999.96   24 1    42           A184     25.
 FeII      3000.059  26 1    69           A 76      5.
 HfII      3000.09   72 1    3            A289     40.
 ArII      3000.14   18 1                 A340      4.
 ArII      3000.45   18 1    72           A340      5.
 FeI       3000.452  26 0    56           G 59      8.
 CoI       3000.545  27 0    13           A 56     15. r
 ZrII      3000.59   40 1    147          A196      3. w
 NiVII     3000.6    28 6 F  3
 FeIII     3000.836  26 2    10           B102         tr      30.48
 CaI       3000.863  20 0    17           A403      5.
 TiI       3000.868  22 0    29           E245     20.
 CrI       3000.890  24 0    28           C245     25. r
 FeI       3000.950  26 0    9            G 59    100. R
 V II      3001.203  23 1    27           A266    200.
 Y II      3001.42   39 1    53           A254      2.
 FeIII     3001.589  26 2    9            A103     12.
 NeII      3001.65   10 1    4            A 52      6.         40.91
 FeI       3001.66   26 0 P  506                    1. :
 V II      3001.754  23 1    141          A266     30.
 V I       3001.90   23 0    116          F213     10. N
 V II      3001.93   23 1    43           A266      2.
 FeII      3002.09   26 1 P  138
 GdII      3002.197  64 1    77           A225     50.
 FeII      3002.330  26 1    98           A 76      5.
 V I       3002.442  23 0                 C245      6.
 NiI       3002.491  28 0    26           B245    100. R
 V I       3002.65   23 0    47           C245      8.
 FeII      3002.650  26 1    8            A 76      5.
 PdI       3002.66   46 0    4            A256     50.          8.30
 GdII      3002.710  64 1    77           A225     60.
 TiI       3002.728  22 0    29           E245      3.
 GdII      3002.860  64 1                 A225   1000.
 FeIII     3002.99   26 2    9            A103      5.
 ArII      3003.00   18 1                 A340      3.
 FeI       3003.031  26 0    30           C278     10.
 FeIII     3003.282  26 2    89           B102      1.
 TiII      3003.37   22 1 P  28
 V II      3003.461  23 1    27           A266     80.
 GdII      3003.583  64 1    25           A225    150.
 NiI       3003.629  28 0    26           B245     60. R
 ZrII      3003.73   40 1    26           A196     15.
 CrII      3003.924  24 1    33           B245     35.
 FeIII     3004.109  26 2    21,41        B102      3.
 FeI       3004.119  26 0    199          V 55      2. :
 FeII      3004.249  26 1    69           A 76      2.
