FeI       3737.133  (   5)[B150r] {F0-M2V;F0-K1IV;G0III-K3Iab}
TiI       3741.059  (  17)[A60r] {G0-K3Iab}
TiII      3741.633  (  72)[B50] {B2-B9Iab;A0-G0Ia}
FeI       3743.364  (  21)[G20] {F0-M2V;G0-K1IV;G0III-K3Iab}
FeI       3745.561  (   5)[J100R] {F0V-K3II;F0-K3Iab}
V II      3745.806  (  15)[A800] {A4-A7V;A0-G0Ib;A0-G0Ia}
FeI       3745.901  (   5)[J40r] {F0V-K3II;G0Ib-K3Iab}
FeI       3748.264  (   5)[B60R] {G0V-K3II;G0-M2Iab}
FeI       3748.969  ( 386)[J5] {K0-K3II}
FeI       3749.487  (  21)[B200R] {F0V-K1IV;G0III-K3Iab}
H         3750.154  (   2)[A H12] {O9V-G0Ia}
O III     3754.67   (   2)[A7] {O9V-B3Ia}
O III     3757.21   (   2)[A5] {O9V-B3Ia}
TiII      3757.684  (  72)[B30] {F0-G0V;A0-G0IV;A0-G0Ia}
FeI       3758.235  (  21)[B150R] {F0V-K5III;G0II-K0Iab}
TiII      3759.291  (  13)[A200] {B2V-G0Ia}
O III     3759.87   (   2)[A9] {O9V-B3Ia}
FeI       3760.052  ( 177)[B8] {F5-K0II}
FeI       3760.534  (  76)[G6] {F5-K0II}
TiII      3761.320  (  13)[A200] {B2V-G0Ia}
SiIV      3762.41   (   3)[A(5)] {O9-B5V;O9III-B3II;O9-B1Ib}
FeI       3763.790  (  21)[B100r] {F0V-K3II;G0-K3Iab}
FeI       3767.194  (  21)[B80r] {G0V-K3III;F5-K3II;G0-K3Iab}
H         3770.632  (   2)[A H11] {O9V-G0Ia}
TiI       3771.652  (  17)[A25] {G0-K3Iab}
O III     3774.00   (   2)[A6] {O9-B1Ib;O9-B3Ia}
NiI       3775.572  (  33)[B30r] {K0-K3II}
TiII      3776.062  (  72)[B6] {A0IV-G5III;A0-F8Ib;A0-G0Ia}
NeII      3777.16   (   1)[A8] {O9-B1III}
FeI       3778.509  ( 664)[J4] {K0-K5V;G0IV-M2III;G0-K2Ib}
FeI       3779.486  (  74)[J2] {G2-K0II}
FeII      3781.510  ( 130)[A1] {A4-A7V;A0-G0Ib;A0-G0Ia}
FeII      3783.347  (  14)[A4] {A0V-G0Ia}
HeI       3784.886  (  64)[D(1)] {O9V-B9IV;B2Ib-B9Ia}
FeI       3785.950  ( 177)[G6] {G0III-K3II}
TiII   P  3786.33   (  12) {A4-A7V;A0-F8Ib;A0-G0Ia}
FeI       3786.678  (  22)[J8] {G0-M2II;G0-M2Iab}
FeI       3787.883  (  21)[B50] {F0V-K3II;G0Ib-K0Iab}
FeI       3789.178  ( 289)[J3] {K0-K3II}
FeI       3790.095  (  22)[B12] {K0-K5V;G0-K1IV;G5-K5III}
O III     3791.26   (   2)[A6] {O9-B5V;O9-B3II;O9-B1Ib;O9-B3Ia}
NiI       3793.608  (   4)[B8] {G0-K3Iab}
FeI       3795.004  (  21)[B60] {F0V-K3II;G0Ib-K0Iab}
H         3797.900  (   2)[A H10] {O9V-G5Ia}
FeI       3798.513  (  21)[B40] {F0V-K3II;G0Ib-K3Iab}
